Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
D&C Black No. 2 (CI 77266),4,MODERATE,MODERATE,MODERATE,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
MENTHOL,3,LOW,HIGH,LOW,LOW,"Multiple, additive exposure sources (low)"
PRUNUS ARMENIACA (APRICOT) KERNEL OIL,1,LOW,LOW,LOW,LOW,
BETAINE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low) and Irritation (skin, eyes, or lungs) (low)"
ALUMINUM POWDER,8,LOW,LOW,MODERATE,HIGH,"Enhanced skin absorption, Use restrictions (high), Neurotoxicity (high), and Non-reproductive organ system toxicity (low)"
BISABOLOL,1,LOW,LOW,LOW,MODERATE,Enhanced skin absorption and Use restrictions (moderate)
GLUCONOLACTONE,1,LOW,LOW,LOW,LOW,
HYDROXYACETOPHENONE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
D&C RED NO. 30 (CI 73360) LAKE,4,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
IODOPROPYNYL BUTYLCARBAMATE,5,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (low)"
SORBITAN SESQUIOLEATE,1,LOW,LOW,LOW,LOW,
COCAMIDE MEA,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL,1,LOW,LOW,LOW,LOW,
TETRASODIUM GLUTAMATE DIACETATE,1,LOW,LOW,LOW,LOW,
MAGNESIUM ALUMINUM SILICATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
SODIUM SACCHARIN,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
CETEARETH-20,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
CERESIN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
MACADAMIA TERNIFOLIA (MACADAMIA) SEED OIL,1,LOW,LOW,LOW,LOW,
ETHYL ACETATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high) and Occupational hazards (moderate)"
DMDM HYDANTOIN (FORMALDEHYDE RELEASER),6,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
POLYISOBUTENE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
TRIDECYL TRIMELLITATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (low)"
ZINC OXIDE,1,LOW,MODERATE,LOW,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Occupational hazards (moderate)"
EUGENOL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (moderate)
SODIUM PHYTATE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
BUTYL ACETATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
SILICA SILYLATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CANNABIS SATIVA (HEMP) SEED OIL,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
CITRUS LIMON (LEMON) PEEL OIL,4,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (low), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
FD&C Yellow No. 6 (CI 15985),3,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), and Contamination concerns (high)"
NITROCELLULOSE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
LAURYL GLUCOSIDE,2,LOW,LOW,LOW,LOW,"Use restrictions (low), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
POLYSORBATE-80,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
TETRAHEXYLDECYL ASCORBATE,1,LOW,LOW,LOW,LOW,
SORBITAN OLIVATE,1,LOW,LOW,LOW,LOW,
POTASSIUM HYDROXIDE,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (low), and Occupational hazards (high)"
CI 45380 (D&C Red No. 21 or 22) Lake,5,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (low)"
FERRIC AMMONIUM FERROCYANIDE,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
POLYGLYCERYL-3 DIISOSTEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
GLYCERYL STEARATE SE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
TRIETHYL CITRATE,1,LOW,LOW,LOW,LOW,
POLYGLYCERYL-4 ISOSTEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
LEUCONOSTOC/ RADISH ROOT FERMENT FILTRATE,1,LOW,LOW,LOW,LOW,
COCAMIDOPROPYL HYDROXYSULTAINE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
HYDROGENATED VEGETABLE OIL,1,LOW,LOW,LOW,LOW,
D&C Red No. 33 (CI 17200) Lake,5,MODERATE,LOW,LOW,HIGH,Use restrictions (high) and Contamination concerns (high)
PYRUS MALUS (APPLE) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
OCTANOHYDROXAMIC ACID,1,LOW,MODERATE,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
ZINC OXIDE (sunscreen grade),2,LOW,MODERATE,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Persistence and bioaccumulation (low), Non-reproductive organ system toxicity (low), Ecotoxicology (low), Occupational hazards (moderate), and Biochemical or cellular level changes (high)"
ROSA CANINA (DOG ROSE) HIPS OIL,3,LOW,HIGH,LOW,LOW,Non-reproductive organ system toxicity (moderate)
STEARALKONIUM HECTORITE,1,LOW,LOW,LOW,LOW,Contamination concerns (high)
GLYCERYL OLEATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (moderate)"
CAFFEINE,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate)
ISOBUTANE,3,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
PEG/ PPG-18/ 18 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
BEHENYL ALCOHOL,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low) and Irritation (skin, eyes, or lungs) (low)"
GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT,5,LOW,LOW,MODERATE,LOW,"Neurotoxicity (low), Endocrine disruption (moderate), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
SESAMUM INDICUM (SESAME) SEED OIL,1,LOW,LOW,LOW,LOW,
SODIUM C14-16 OLEFIN SULFONATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
CAPRYLYL METHICONE,1,LOW,LOW,LOW,LOW,
FD&C Red No. 4 (CI 14700),4,LOW,LOW,LOW,HIGH,Use restrictions (high) and Endocrine disruption (low)
LIMNANTHES ALBA (MEADOWFOAM) SEED OIL,1,LOW,LOW,LOW,LOW,
ACETYL TRIBUTYL CITRATE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
POLYMETHYL METHACRYLATE,1,LOW,MODERATE,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (low)"
STEARAMIDOPROPYL DIMETHYLAMINE,2,LOW,MODERATE,LOW,HIGH,Use restrictions (high)
BIOTIN,1,LOW,LOW,LOW,LOW,
LAURETH-7,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
HYDROGENATED LECITHIN,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), and Contamination concerns (high)"
SUCROSE,1,LOW,LOW,LOW,LOW,
POLYETHYLENE TEREPHTHALATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX,1,LOW,LOW,LOW,LOW,
TRIHYDROXYSTEARIN,1,LOW,LOW,LOW,LOW,
BEHENTRIMONIUM METHOSULFATE,5,LOW,HIGH,LOW,LOW,"Use restrictions (low), Neurotoxicity (low), Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
CHARCOAL POWDER,1,LOW,LOW,LOW,LOW,
SEA SALT,1,LOW,LOW,LOW,LOW,
STYRENE/ ACRYLATES COPOLYMER,2,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
BUTYLPHENYL,1,LOW,LOW,LOW,LOW,
TRISODIUM ETHYLENEDIAMINE DISUCCINATE,1,LOW,LOW,LOW,LOW,
HDI/ TRIMETHYLOL HEXYLLACTONE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM DULCIS (ORANGE) OIL,5,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
STEARALKONIUM BENTONITE,1,LOW,LOW,LOW,LOW,
ALGAE/ SEAWEED/ KELP EXTRACT (species unspecified),1,LOW,LOW,LOW,LOW,
COCOS NUCIFERA (COCONUT) EXTRACT,1,LOW,LOW,LOW,LOW,
DISODIUM STEAROYL GLUTAMATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
HYALURONIC ACID,1,LOW,LOW,LOW,LOW,
HYDROGENATED POLYDECENE,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (moderate)
HONEY,1,LOW,LOW,LOW,LOW,
BARIUM SULFATE,3,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
PEG-8,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-150 DISTEARATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
VANILLA PLANIFOLIA (VANILLA) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
EUCALYPTUS GLOBULUS (EUCALYPTUS) LEAF OIL,4,LOW,HIGH,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), and Irritation (skin, eyes, or lungs) (low)"
POLYGLYCERYL-2 TRIISOSTEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
AMYLCINNAMALDEHYDE,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
OCTOCRYLENE,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (low), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (low), and Biochemical or cellular level changes (high)"
PALMITOYL TRIPEPTIDE-1,1,LOW,LOW,LOW,LOW,
LAURETH-4,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
SODIUM LACTATE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
CETEARYL OLIVATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
ETHYLPARABEN,3,LOW,MODERATE,LOW,LOW,Use restrictions (low) and Endocrine disruption (moderate)
TRIETHYLHEXANOIN,1,LOW,LOW,LOW,LOW,
CETEARYL GLUCOSIDE,2,LOW,LOW,LOW,LOW,"Use restrictions (low), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
ETHYLENE/ PROPYLENE/ STYRENE COPOLYMER,1,LOW,LOW,LOW,LOW,
POLYSILICONE-11,1,LOW,LOW,LOW,LOW,
TREHALOSE,1,LOW,LOW,LOW,LOW,
VP/ HEXADECENE COPOLYMER,1,LOW,LOW,LOW,LOW,
PANAX GINSENG (GINSENG) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
PHENETHYL ALCOHOL,1,LOW,LOW,LOW,LOW,Use restrictions (low)
Ext. D&C Violet No. 2 (CI 60730),5,MODERATE,MODERATE,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
HYDROXYETHYL ACRYLATE/ SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER,1,LOW,LOW,LOW,LOW,
SULISOBENZONE,3,LOW,MODERATE,LOW,LOW,"Enhanced skin absorption, Endocrine disruption (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (moderate)"
ADIPIC ACID/ NEOPENTYL GLYCOL/ TRIMELLITIC ANHYDRIDE COPOLYMER,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CHROMIUM HYDROXIDE GREEN,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
TAPIOCA STARCH,1,LOW,LOW,LOW,LOW,
CENTELLA ASIATICA (GOTU KOLA) EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
SODIUM GLUCONATE,1,LOW,LOW,LOW,LOW,
VP/ VA COPOLYMER,1,LOW,LOW,LOW,LOW,
VANILLIN,1,LOW,LOW,LOW,LOW,
DICALCIUM PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
HEXYL LAURATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CARRAGEENAN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
PUNICA GRANATUM (POMEGRANATE) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM POLYACRYLATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), and Contamination concerns (high)"
HYDROLYZED WHEAT PROTEIN,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
BUTYLENE/ ETHYLENE/ STYRENE COPOLYMER,1,LOW,LOW,LOW,LOW,
CI 45380 (D&C Red No. 21 or 22),5,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (low)"
SODIUM STEARATE,1,LOW,LOW,LOW,LOW,
XYLITOL,1,LOW,LOW,LOW,LOW,
ELAEIS GUINEENSIS (AFRICAN OIL PALM) OIL,1,LOW,LOW,LOW,LOW,
HYDROLYZED KERATIN,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate)"
CANANGA ODORATA (YLANG YLANG) FLOWER OIL,3,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
ACACIA SENEGAL GUM,3,LOW,MODERATE,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (moderate)
HOMOSALATE,2,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Contamination concerns (high)"
VP/ EICOSENE COPOLYMER,1,LOW,LOW,LOW,LOW,
SODIUM METHYL COCOYL TAURATE,1,LOW,LOW,LOW,LOW,
GLYCOL STEARATE,1,LOW,LOW,LOW,LOW,
SORBITAN OLEATE,1,LOW,LOW,LOW,LOW,
ISOPROPYL TITANIUM TRIISOSTEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
C13-14 ISOPARAFFIN,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (low)
POLYACRYLAMIDE,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Contamination concerns (high)"
BENZOPHENONE-1,4,LOW,MODERATE,LOW,LOW,Endocrine disruption (moderate)
SODIUM SULFATE,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (low)
BENTONITE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
HYDROFLUOROCARBON 152A,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (low)
SODIUM ASCORBYL PHOSPHATE,1,LOW,LOW,LOW,LOW,
OENOTHERA BIENNIS (EVENING PRIMROSE) OIL,1,LOW,LOW,LOW,LOW,
ZINGIBER OFFICINALE (GINGER) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-60 HYDROGENATED CASTOR OIL,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
DIPOTASSIUM GLYCYRRHIZATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PROPANE,3,LOW,MODERATE,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (moderate)"
SORBITAN STEARATE,1,LOW,LOW,LOW,LOW,
DICAPRYLYL CARBONATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
LAURIC ACID,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
LANOLIN,1,LOW,LOW,LOW,LOW,
MAGNESIUM CHLORIDE,1,LOW,LOW,LOW,LOW,
SODIUM LAUROYL SARCOSINATE,1,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), and Contamination concerns (high)"
CETYL ETHYLHEXANOATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
TROMETHAMINE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
BUTYLOCTYL SALICYLATE,1,LOW,LOW,LOW,HIGH,Enhanced skin absorption and Use restrictions (high)
STEVIA REBAUDIANA (SWEETLEAF) EXTRACT,1,LOW,LOW,LOW,LOW,
DIAZOLIDINYL UREA (FORMALDEHYDE RELEASER),5,LOW,HIGH,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
METHYLPROPANEDIOL,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
HYDROGENATED STYRENE/ ISOPRENE COPOLYMER,1,LOW,LOW,LOW,LOW,
MAGNESIUM MYRISTATE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
METHYL TRIMETHICONE,1,LOW,LOW,LOW,LOW,
LACTOBACILLUS FERMENT,1,LOW,LOW,LOW,LOW,
GLYCOLIC ACID,1,LOW,LOW,LOW,HIGH,"Use restrictions (high) and Irritation (skin, eyes, or lungs) (high)"
BUTANE,3,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
CITRUS LIMON (LEMON) FRUIT EXTRACT,2,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
PPG-9,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (moderate)
POLYGLYCERYL-3 POLYRICINOLEATE,1,LOW,LOW,LOW,LOW,
SODIUM COCOATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
HYDROXYPROPYL METHYLCELLULOSE,1,LOW,LOW,LOW,LOW,
HYDROLYZED GLYCINE SOJA (SOY) PROTEIN,1,LOW,LOW,LOW,LOW,
TRIDECETH-12,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
PEG-7 GLYCERYL COCOATE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
ALOE BARBADENSIS (ALOE VERA) LEAF,1,MODERATE,LOW,LOW,LOW,Use restrictions (low)
STEARETH-20,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
SACCHARUM OFFICINARUM (SUGAR CANE) EXTRACT,1,LOW,LOW,LOW,LOW,
POGOSTEMON CABLIN (PATCHOULI) OIL,1,LOW,LOW,LOW,LOW,
CELLULOSE,1,LOW,LOW,LOW,LOW,
PEG-12 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
HYDROLYZED COLLAGEN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
CERAMIDE 3,1,LOW,LOW,LOW,LOW,
UREA,1,LOW,LOW,LOW,MODERATE,Enhanced skin absorption and Use restrictions (moderate)
GLUCOSE,1,LOW,LOW,LOW,LOW,
SODIUM LEVULINATE,1,LOW,LOW,LOW,LOW,
SALVIA OFFICINALIS (SAGE) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
HISTIDINE,1,LOW,LOW,LOW,LOW,
PALMITOYL TETRAPEPTIDE-7,1,LOW,LOW,LOW,LOW,
COCOS NUCIFERA (COCONUT) WATER,1,LOW,LOW,LOW,LOW,
FARNESOL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
SODIUM COCOYL GLUTAMATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLYQUATERNIUM-37,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
CHOLESTEROL,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate)
UNSPECIFIED OILS,4,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM DULCIS (ORANGE) FRUIT EXTRACT,2,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
ALOE BARBADENSIS (ALOE VERA) LEAF JUICE POWDER,1,MODERATE,LOW,LOW,LOW,Use restrictions (low)
VINYL DIMETHICONE/ METHICONE SILSESQUIOXANE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
GLYCINE,1,LOW,LOW,LOW,LOW,
SUCRALOSE,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate)
MENTHA SPICATA (SPEARMINT) OIL,3,LOW,HIGH,LOW,LOW,
AVENA SATIVA (OAT) KERNEL EXTRACT,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SODIUM LAUROYL LACTYLATE,1,LOW,LOW,LOW,LOW,
CETYL ESTERS,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CITRUS PARADISI (GRAPEFRUIT) PEEL OIL,4,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
CARAMEL,1,LOW,LOW,LOW,LOW,
POTASSIUM CETYL PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SALIX ALBA (WHITE WILLOW) BARK EXTRACT,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
PELARGONIUM GRAVEOLENS (GERANIUM) FLOWER OIL,4,LOW,HIGH,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (moderate)"
SODIUM PALMATE,1,LOW,LOW,LOW,LOW,
SD ALCOHOL 40B,3,LOW,LOW,MODERATE,LOW,"Enhanced skin absorption, Non-reproductive organ system toxicity (low), and Multiple, additive exposure sources (low)"
HYDROGENATED COCO-GLYCERIDES,1,LOW,LOW,LOW,LOW,
ISOAMYL LAURATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
AMMONIUM ACRYLOYLDIMETHYL TAURATE/ VP COPOLYMER,1,LOW,LOW,LOW,LOW,
GLYCERYL STEARATE CITRATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
D&C Violet No. 2 (CI 60725),3,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
